"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|DK1","Generation - Solar  [MW] Intraday / BZN|DK1","Generation - Solar  [MW] Current / BZN|DK1","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DK1","Generation - Wind Offshore  [MW] Intraday / BZN|DK1","Generation - Wind Offshore  [MW] Current / BZN|DK1","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DK1","Generation - Wind Onshore  [MW] Intraday / BZN|DK1","Generation - Wind Onshore  [MW] Current / BZN|DK1"
"09.01.2022 07:00 - 09.01.2022 08:00","0","N/A","0","943","N/A","1005","1574","N/A","1390"
"09.01.2022 08:00 - 09.01.2022 09:00","0","0","0","833","914","927","1492","1360","1360"
"09.01.2022 09:00 - 09.01.2022 10:00","3","3","10","639","749","876","1340","1293","1257"
"09.01.2022 10:00 - 09.01.2022 11:00","13","13","19","549","704","814","1151","1180","1049"
"09.01.2022 11:00 - 09.01.2022 12:00","22","22","29","501","701","591","1094","1141","1049"
"09.01.2022 12:00 - 09.01.2022 13:00","27","27","40","504","742","631","1058","1116","978"
"09.01.2022 13:00 - 09.01.2022 14:00","21","27","41","439","763","565","958","1072","890"
"09.01.2022 14:00 - 09.01.2022 15:00","13","18","29","517","833","657","914","1069","876"
"09.01.2022 15:00 - 09.01.2022 16:00","3","4","6","507","953","511","929","1096","906"
"09.01.2022 16:00 - 09.01.2022 17:00","0","0","1","441","917","672","927","1091","869"
"09.01.2022 17:00 - 09.01.2022 18:00","0","0","1","445","852","638","947","1086","891"
"09.01.2022 18:00 - 09.01.2022 19:00","0","0","1","423","777","671","987","1057","921"
"09.01.2022 19:00 - 09.01.2022 20:00","0","0","0","403","734","557","986","967","950"
"09.01.2022 20:00 - 09.01.2022 21:00","0","0","0","422","711","533","1059","947","1032"
"09.01.2022 21:00 - 09.01.2022 22:00","0","0","0","450","678","502","1098","962","983"
"09.01.2022 22:00 - 09.01.2022 23:00","0","0","0","430","578","444","1112","935","991"
"09.01.2022 23:00 - 10.01.2022 00:00","0","0","0","426","515","444","1093","877","945"
"10.01.2022 00:00 - 10.01.2022 01:00","0","N/A","0","481","N/A","386","1074","N/A","999"
"10.01.2022 01:00 - 10.01.2022 02:00","0","N/A","0","473","N/A","390","1062","N/A","938"
"10.01.2022 02:00 - 10.01.2022 03:00","0","N/A","0","435","N/A","530","1049","N/A","891"
"10.01.2022 03:00 - 10.01.2022 04:00","0","N/A","0","395","N/A","608","1031","N/A","906"
"10.01.2022 04:00 - 10.01.2022 05:00","0","N/A","0","368","N/A","582","1042","N/A","880"
"10.01.2022 05:00 - 10.01.2022 06:00","0","N/A","0","396","N/A","754","1030","N/A","856"
"10.01.2022 06:00 - 10.01.2022 07:00","0","N/A","0","423","N/A","685","1011","N/A","780"
"10.01.2022 07:00 - 10.01.2022 08:00","0","N/A","0","448","N/A","530","979","N/A","733"
"10.01.2022 08:00 - 10.01.2022 09:00","0","0","0","479","559","544","931","733","733"
"10.01.2022 09:00 - 10.01.2022 10:00","15","19","26","444","575","465","867","708","659"
"10.01.2022 10:00 - 10.01.2022 11:00","52","69","58","496","597","449","778","640","618"
"10.01.2022 11:00 - 10.01.2022 12:00","84","105","78","539","573","461","766","644","585"
"10.01.2022 12:00 - 10.01.2022 13:00","92","110","134","533","498","442","754","664","548"
"10.01.2022 13:00 - 10.01.2022 14:00","75","88","139","485","450","447","680","611","520"
"10.01.2022 14:00 - 10.01.2022 15:00","46","50","80","500","367","407","611","540","482"
"10.01.2022 15:00 - 10.01.2022 16:00","13","13","13","480","393","490","550","487","393"
"10.01.2022 16:00 - 10.01.2022 17:00","0","0","1","489","415","508","529","462","266"
